銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
165120018,FUT_NK225_2012,,202012,,25540,25635,25634.34,,0.0582,22,日経225
166030018,FUT_NK225_2103,,202103,,25480,25598,25634.34,,0.1364,113,日経225
166060018,FUT_NK225_2106,,202106,,25300,25443,25634.34,,0.1564,204,日経225
166090018,FUT_NK225_2109,,202109,,25240,25414,25634.34,,0.1564,295,日経225
166120018,FUT_NK225_2112,,202112,,25060,25277,25634.34,,0.1564,386,日経225
167030018,FUT_NK225_2203,,202203,,24990,25240,25634.34,,0.1564,477,日経225
167060018,FUT_NK225_2206,,202206,,24810,25085,25634.34,,0.1564,568,日経225
167120018,FUT_NK225_2212,,202212,,24570,24922,25634.34,,0.1564,750,日経225
168060018,FUT_NK225_2306,,202306,,24310,24733,25634.34,,0.1564,932,日経225
168120018,FUT_NK225_2312,,202312,,24070,24572,25634.34,,0.1564,1114,日経225
169060018,FUT_NK225_2406,,202406,,23810,24387,25634.34,,0.1564,1303,日経225
169120018,FUT_NK225_2412,,202412,,23600,24228,25634.34,,0.1564,1485,日経225
160060018,FUT_NK225_2506,,202506,,24050,24045,25634.34,,0.1564,1667,日経225
160120018,FUT_NK225_2512,,202512,,23240,23888,25634.34,,0.1564,1849,日経225
161060018,FUT_NK225_2606,,202606,,23000,23708,25634.34,,0.1564,2031,日経225
161120018,FUT_NK225_2612,,202612,,23550,23554,25634.34,,0.1564,2213,日経225
162060018,FUT_NK225_2706,,202706,,23380,23376,25634.34,,0.1564,2395,日経225
162120018,FUT_NK225_2712,,202712,,23220,23224,25634.34,,0.1564,2577,日経225
163060018,FUT_NK225_2806,,202806,,23050,23049,25634.34,,0.1564,2759,日経225
165120019,FUT_NK225M_2012,,202012,,25540,25635,25634.34,,0.0582,22,日経225
166010019,FUT_NK225M_2101,,202101,,25490,25603,25634.34,,0.0791,50,日経225
166020019,FUT_NK225M_2102,,202102,,25515,25604,25634.34,,0.0791,85,日経225
166030019,FUT_NK225M_2103,,202103,,25480,25598,25634.34,,0.1364,113,日経225
166040019,FUT_NK225M_2104,,202104,,25435,25434,25634.34,,0.1364,141,日経225
166060019,FUT_NK225M_2106,,202106,,25300,25443,25634.34,,0.1564,204,日経225
166090019,FUT_NK225M_2109,,202109,,25240,25414,25634.34,,0.1564,295,日経225
166120019,FUT_NK225M_2112,,202112,,25060,25277,25634.34,,0.1564,386,日経225
167030019,FUT_NK225M_2203,,202203,,24990,25240,25634.34,,0.1564,477,日経225
167060019,FUT_NK225M_2206,,202206,,24810,25085,25634.34,,0.1564,568,日経225
167120019,FUT_NK225M_2212,,202212,,24570,24922,25634.34,,0.1564,750,日経225
168060019,FUT_NK225M_2306,,202306,,24310,24733,25634.34,,0.1564,932,日経225
168120019,FUT_NK225M_2312,,202312,,24070,24572,25634.34,,0.1564,1114,日経225
169060019,FUT_NK225M_2406,,202406,,23810,24387,25634.34,,0.1564,1303,日経225
169120019,FUT_NK225M_2412,,202412,,23600,24228,25634.34,,0.1564,1485,日経225
160060019,FUT_NK225M_2506,,202506,,24050,24045,25634.34,,0.1564,1667,日経225
165120005,FUT_TOPIX_2012,,202012,,1720.5,1726.42,1726.41,,0.0582,22,TOPIX
166030005,FUT_TOPIX_2103,,202103,,1718,1724.25,1726.41,,0.1364,113,TOPIX
166060005,FUT_TOPIX_2106,,202106,,1709,1708.97,1726.41,,0.1564,204,TOPIX
166090005,FUT_TOPIX_2109,,202109,,1707.5,1707.27,1726.41,,0.1564,295,TOPIX
166120005,FUT_TOPIX_2112,,202112,,1694,1693.85,1726.41,,0.1564,386,TOPIX
165120006,FUT_TOPIXM_2012,,202012,,1720.5,1726.42,1726.41,,0.0582,22,TOPIX
166030006,FUT_TOPIXM_2103,,202103,,1718,1724.25,1726.41,,0.1364,113,TOPIX
166060006,FUT_TOPIXM_2106,,202106,,1709,1708.97,1726.41,,0.1564,204,TOPIX
165120022,FUT_JN400_2012,,202012,,15595,15657,15656.85,,0.0582,22,JPX日経400
166030022,FUT_JN400_2103,,202103,,15635,15636,15656.85,,0.1364,113,JPX日経400
166060022,FUT_JN400_2106,,202106,,15505,15506,15656.85,,0.1564,204,JPX日経400
166090022,FUT_JN400_2109,,202109,,15490,15489,15656.85,,0.1564,295,JPX日経400
166120022,FUT_JN400_2112,,202112,,15365,15366,15656.85,,0.1564,386,JPX日経400
165120063,FUT_TPX30_2012,,202012,,798.5,798.6,798.57,,0.0582,22,TOPIX Core30
166030063,FUT_TPX30_2103,,202103,,797.5,797.6,798.57,,0.1364,113,TOPIX Core30
166060063,FUT_TPX30_2106,,202106,,790.5,790.5,798.57,,0.1564,204,TOPIX Core30
165120032,FUT_BANK_2012,,202012,,124.1,124.1,124.06,,0.0582,22,東証銀行
166030032,FUT_BANK_2103,,202103,,123.9,123.9,124.06,,0.1364,113,東証銀行
166060032,FUT_BANK_2106,,202106,,122.8,122.8,124.06,,0.1564,204,東証銀行
165120069,FUT_REIT_2012,,202012,,1673,1673.2,1678.03,,0.0582,22,東証REIT
166030069,FUT_REIT_2103,,202103,,1650.5,1650.7,1678.03,,0.1364,113,東証REIT
166060069,FUT_REIT_2106,,202106,,1639.5,1639.4,1678.03,,0.1564,204,東証REIT
165120073,FUT_DJIA_2012,,202012,,29380,,29438.42,,,32,NYダウ
166030073,FUT_DJIA_2103,,202103,,29400,,29438.42,,,123,NYダウ
166060073,FUT_DJIA_2106,,202106,,29544,,29438.42,,,214,NYダウ
166090073,FUT_DJIA_2109,,202109,,29610,,29438.42,,,306,NYダウ
165120076,FUT_RNP_2012,,202012,,1313,1313.2,1313.18,,0.0582,22,RNP
166030076,FUT_RNP_2103,,202103,,1311.5,1311.5,1313.18,,0.1364,113,RNP
166060076,FUT_RNP_2106,,202106,,1300,1300,1313.18,,0.1564,204,RNP
166090076,FUT_RNP_2109,,202109,,1298.5,1298.7,1313.18,,0.1564,295,RNP
166120076,FUT_RNP_2112,,202112,,1288.5,1288.6,1313.18,,0.1564,386,RNP
165120017,FUT_NKDIV_2012,,202012,,412,,,,,133,日経平均配当
166120017,FUT_NKDIV_2112,,202112,,420.5,,,,,498,日経平均配当
167120017,FUT_NKDIV_2212,,202212,,447,,,,,865,日経平均配当
168120017,FUT_NKDIV_2312,,202312,,448.8,,,,,1229,日経平均配当
169120017,FUT_NKDIV_2412,,202412,,448.8,,,,,1594,日経平均配当
160120017,FUT_NKDIV_2512,,202512,,448.8,,,,,1959,日経平均配当
161120017,FUT_NKDIV_2612,,202612,,448.8,,,,,2324,日経平均配当
162120017,FUT_NKDIV_2712,,202712,,448.8,,,,,2692,日経平均配当
165120008,FUT_TPDIV_2012,,202012,,35.78,,,,,133,TOPIX配当
166120008,FUT_TPDIV_2112,,202112,,34.64,,,,,498,TOPIX配当
167120008,FUT_TPDIV_2212,,202212,,36.63,,,,,865,TOPIX配当
168120008,FUT_TPDIV_2312,,202312,,36.63,,,,,1229,TOPIX配当
169120008,FUT_TPDIV_2412,,202412,,36.63,,,,,1594,TOPIX配当
160120008,FUT_TPDIV_2512,,202512,,36.63,,,,,1959,TOPIX配当
161120008,FUT_TPDIV_2612,,202612,,36.63,,,,,2324,TOPIX配当
162120008,FUT_TPDIV_2712,,202712,,36.63,,,,,2692,TOPIX配当
165120064,FUT_T30D_2012,,202012,,18.7,,,,,133,Core30配当
166120064,FUT_T30D_2112,,202112,,18.11,,,,,498,Core30配当
167120064,FUT_T30D_2212,,202212,,19.15,,,,,865,Core30配当
168120064,FUT_T30D_2312,,202312,,19.15,,,,,1229,Core30配当
169120064,FUT_T30D_2412,,202412,,19.15,,,,,1594,Core30配当
160120064,FUT_T30D_2512,,202512,,19.15,,,,,1959,Core30配当
161120064,FUT_T30D_2612,,202612,,19.15,,,,,2324,Core30配当
162120064,FUT_T30D_2712,,202712,,19.15,,,,,2692,Core30配当
165120001,FUT_JGBL_2012,,202012,,152.18,,,,,32,長期国債
166030001,FUT_JGBL_2103,,202103,,152.05,,,,,123,長期国債
166060001,FUT_JGBL_2106,,202106,,151.94,,,,,214,長期国債
165120007,FUT_JGBLM_2012,,202012,,152.18,,,,,25,長期国債先物
166030007,FUT_JGBLM_2103,,202103,,152.05,,,,,116,長期国債先物
166060007,FUT_JGBLM_2106,,202106,,151.94,,,,,207,長期国債先物
165120004,FUT_JGBM_2012,,202012,,113.28,,,,,32,中期国債
166030004,FUT_JGBM_2103,,202103,,113.26,,,,,123,中期国債
166060004,FUT_JGBM_2106,,202106,,113.22,,,,,214,中期国債
165120002,FUT_JGBSL_2012,,202012,,161.49,,,,,32,超長期国債
166030002,FUT_JGBSL_2103,,202103,,161.12,,,,,123,超長期国債
166060002,FUT_JGBSL_2106,,202106,,160.77,,,,,214,超長期国債
165120011,FUT_MOTHE_2012,,202012,,1199,1198.7,1198.68,,0.0582,22,東証マザーズ
166030011,FUT_MOTHE_2103,,202103,,1199,1199,1198.68,,0.1364,113,東証マザーズ
166060011,FUT_MOTHE_2106,,202106,,1199,1199.2,1198.68,,0.1564,204,東証マザーズ
166090011,FUT_MOTHE_2109,,202109,,1200,1199.5,1198.68,,0.1564,295,東証マザーズ
166120011,FUT_MOTHE_2112,,202112,,1200,1199.8,1198.68,,0.1564,386,東証マザーズ
165120078,FUT_TAIEX_2012,,202012,,13740,,13722.43,,,27,台湾加権
166010078,FUT_TAIEX_2101,,202101,,13740,,13722.43,,,62,台湾加権
166030078,FUT_TAIEX_2103,,202103,,13740,,13722.43,,,118,台湾加権
166060078,FUT_TAIEX_2106,,202106,,13740,,13722.43,,,209,台湾加権
166090078,FUT_TAIEX_2109,,202109,,13740,,13722.43,,,300,台湾加権
165110079,FUT_FTC50_2011,,202011,,20630,,20640.72,,,11,FTSE中国50
165120079,FUT_FTC50_2012,,202012,,20630,,20640.72,,,46,FTSE中国50
166030079,FUT_FTC50_2103,,202103,,20630,,20640.72,,,132,FTSE中国50
166060079,FUT_FTC50_2106,,202106,,20630,,20640.72,,,223,FTSE中国50
165120015,FUT_NKVI_2012,,202012,,20.7,,21.65,,,20,日経平均VI
166010015,FUT_NKVI_2101,,202101,,22.05,,21.65,,,55,日経平均VI
166020015,FUT_NKVI_2102,,202102,,23.45,,21.65,,,83,日経平均VI
166030015,FUT_NKVI_2103,,202103,,23.35,,21.65,,,111,日経平均VI
166040015,FUT_NKVI_2104,,202104,,21.45,,21.65,,,146,日経平均VI
